QID,ProductID,Component,Role,RoleName,Level,OnboardingPhase,QuestionType,Question,WhyItMatters,AnswerSource,AnswerStatus,BlocksWork,ParentQID,FollowUps,SampleAnswerShape,AskedTo,AnsweredBy,AnswerDate,DocLink,Confidence
QAI0022,D01,SME Chatbot (learner),AI,AI/ML Engineer,L4 Architect,Quarter 1,Trade-off,Why is the quantized open-weight model on the enclave appliance treated as the release-gating configuration rather than the hosted model?,Gating on the hosted configuration ships an enclave product whose safety behaviour has never been measured on the model it runs.,"Architecture Review Report SS I.1-6, Operating Principle 4.7",Documented,AIA-04.2.02 release gates wired into CI,-,What if the local model cannot pass? / Who accepts the delta in writing?,Argues from the enclave commitment to the quality bar and names the descope options,,,,,
QAI0001,D01,SME Chatbot (learner),AIG,AI Generalist,L1 Junior,Week 1,Orientation,What is a supersession tombstone in the learner chatbot's retrieval path and why does EdVidura block a chunk before the index is rebuilt?,A new joiner who assumes re-indexing is the only supersession control will ship a window in which a learner can be served an obsolete maintenance procedure.,"Master Checklist v3 (KNI-02.2.03, AIA-09.1.03); Architecture Review Report SS I.1-4",Partially documented,KNI-02.2.03 M26 supersession compliance,-,Who applies the tombstone? / How does a tombstone reach an air-gapped enclave? / What does the learner see in the gap?,"Names the tombstone list, the query-time block, and the difference between blocking and re-indexing",,,,,
QAI0002,D01,SME Chatbot (learner),AIG,AI Generalist,L1 Junior,Week 1,Orientation,Which document corpus is the learner-facing chatbot allowed to answer from and which corpora must it never touch?,Answering a learner from the authoring corpus or another tenant's manuals is a confidentiality breach delivered through the AI side door.,"Master Checklist v3 (KNI-02.1.01, CNT-08.1.01)",Partially documented,KNI-02.1.04 tenant-scoped indexes,-,Who approves a manual into the corpus? / Where is the corpus boundary enforced?,"Names the approved learner corpus, the separate authoring corpus, and where the boundary is enforced",,,,,
QAI0008,D01,SME Chatbot (learner),AIG,AI Generalist,L2 Mid,Month 1,Failure mode,What is supposed to happen when the retrieval pre-filter passes but the post-retrieval tenant assertion fails on a chunk?,Silently dropping the chunk hides an isolation defect; passing it through leaks another tenant's manual into a learner's answer.,"Master Checklist v3 (KNI-02.2.01, AIA-05.1.02)",Partially documented,KNI-06.1.01 cross-tenant retrieval test,-,Is the failure alarmed or logged only? / Does the answer still return?,"States fail-closed behaviour, the alert, and the audit record",,,,,
QAI0010,D01,SME Chatbot (learner),AIG,AI Generalist,L2 Mid,Month 1,Mechanism,How do you add a newly approved manual to the learner corpus without exposing it to tenants that have no rights to it?,A single mis-scoped index write publishes a restricted manual to every site running the same build.,"Master Checklist v3 (KNI-02.1.01, KNI-02.1.04)",Partially documented,KNI-02.1.04 tenant-scoped indexes,-,Does a new document trigger re-embedding of the whole index? / Who approves upload?,"Names the approval workflow, the tenant-scoped index target, and the verification step",,,,,
QAI0016,D01,SME Chatbot (learner),AIG,AI Generalist,L3 Senior,Quarter 1,Failure mode,How do we reconstruct the list of learners who received an answer sourced from a procedure that was later superseded?,"Without this query a supersession incident becomes a blanket re-training event or, worse, an unreported one.",Master Checklist v3 (AIA-09.1.06); Architecture Review Report Scenario 4,Partially documented,AIA-09.1.06 chat audit trail,-,Who is notified? / Does the notification cross the air gap?,"Describes the audit query, its inputs, and the notification obligation it triggers",,,,,
QAI0026,D01,SME Chatbot (learner),AIG,AI Generalist,L3 Senior,Quarter 1,Emergent,Who is accountable for a learner who followed an obsolete procedure during the window between a manual revision and tombstone arrival in their enclave?,An unassigned accountability for the known unsafe window means nobody is funded to shrink it.,None - undocumented; Programme Director and Client SME,Undocumented — no answer exists,AIA-07.1.03 supersession non-retrievability SLA,QAI0001,What is the contractual SLA per deployment class? / Is the window disclosed to the customer?,Names an accountable role and the SLA that bounds the window,,,,,
QAI0023,D01,SME Chatbot (learner),AIG,AI Generalist,L4 Architect,Quarter 1,Trade-off,What would have to be true for us to ship enclave sites with retrieval-only extractive answers and no generation at all?,"Choosing this late, after the chatbot has been demonstrated as conversational, is a public capability withdrawal instead of a design decision.",Architecture Review Report SS I.1-6 residual risk; AI/ML Safety Engineer,Undocumented — no answer exists,MOD-010 enclave AI tiering decision,-,Is retrieval-only still sellable? / Does it change the GPU sizing?,"Names the trigger metrics, the affected commitments, and who owns the decision",,,,,
QAI0007,D01,SME Chatbot (learner),BE,Back-End Developer,L2 Mid,Month 1,Mechanism,Walk a learner question from the chat widget to the emitted xAPI statement and name the service that applies the tenant filter.,"If the tenant filter lives in the wrong hop, a retrieval can cross a command boundary before anyone checks authorisation.","Master Checklist v3 (AIA-08.1.01, AIA-08.1.07); Architecture Review Report SS I.1-5",Partially documented,AIA-08.1.01 retrieval pipeline,-,Where is the post-retrieval assertion? / What is the correlation ID path?,"Traces widget, retrieval pre-filter, inference call, citation assembly, event emit, naming the filter owner",,,,,
QAI0013,D01,SME Chatbot (learner),DE,Data Engineer,L2 Mid,Month 1,Data,Which store holds the linkage between an answer and the chunk IDs and source revisions it used?,Exposure assessment after a stale or leaked answer is impossible if this linkage is not persisted and reachable.,"Master Checklist v3 (KNI-05.1.01, AIA-09.1.06)",Partially documented,KNI-05.1.02 retention and PII policy,-,Who may query it? / What is the retention bound?,"Names the store, the linkage fields, the access roles and the retention rule",,,,,
QAI0004,D01,SME Chatbot (learner),FE,Front-End Developer,L1 Junior,Week 1,Interface/Contract,What is the chat widget required to display when the API returns a refusal?,A front-end that renders a refusal as an empty bubble teaches learners the tool is broken and drives them back to paper manuals.,Master Checklist v3 (AIA-07.1.01),Partially documented,AIA-08.1.04 refusal behaviour,-,What does the API return on refusal? / Is refusal text localised?,"Names the refusal response form, the currency-warning form, and the UI obligation for each",,,,,
QAI0006,D01,SME Chatbot (learner),ID,Instructional Designer,L1 Junior,Week 1,Orientation,What does the 'corpus verified as of' date shown on a chatbot answer actually tell a learner?,An instructional designer who misreads it will tell learners the content is current when only the index build date is known.,Master Checklist v3 (KNI-02.2.04); Architecture Review Report SS I.1-4,Partially documented,KNI-02.2.06 enclave currency banner,-,Does it prove the source manual is current? / What is the staleness threshold?,Separates index build date from source-manual currency,,,,,
QAI0025,D01,SME Chatbot (learner),ID,Instructional Designer,L4 Architect,Quarter 1,Ethics/Validity,"When is a chatbot answer an acceptable substitute for opening the technical order, and when is it explicitly not?",Without a stated boundary the tool drifts from study aid to procedural authority and the first serious error is ours.,Client SME; Instructional Design Lead,Undocumented — no answer exists,Pedagogy review gate for AI-assisted content,-,Does the UI state the limit? / Is the limit different for safety-critical procedures?,Draws a defensible line by content class and states how the product enforces it,,,,,
QAI0021,D01,SME Chatbot (learner),PM,Project / Delivery Manager,L2 Mid,Month 1,Governance/Process,Which M26 checklist items cannot be scheduled at all until the GPU appliance physically exists?,Planning enclave AI acceptance against hardware that has not been ordered turns a procurement slip into a silent stage-exit failure.,"Master Checklist v3 (AIA-11.1.03, AIA-03.2.04, AIA-02.1.07)",Partially documented,Slice D enclave chatbot acceptance,-,What is the order deadline? / Can a rented GPU substitute for the gate?,Lists the hardware-bound items and separates them from items that can proceed on rented hardware,,,,,
QAI0029,D01,SME Chatbot (learner),PM,Project / Delivery Manager,L4 Architect,Quarter 1,Emergent,"If the hosted-versus-local delta proves unacceptable at Slice D, which already-signed commitments have to be re-opened?",Discovering the contractual exposure after the measurement is what turns a technical finding into a commercial crisis.,None - undocumented; Programme Director; Architecture Review Report R-005,Undocumented — no answer exists,Slice D exit and enclave AI scope,QAI0022,Which customer accepted what in writing? / What is the fallback tier?,Traces the delta result to named commitments and the renegotiation path,,,,,
QAI0020,D01,SME Chatbot (learner),PRODM,Product Manager,L3 Senior,Quarter 1,Ethics/Validity,In what words may a proposal describe the learner chatbot's answer accuracy before any local-model evaluation exists?,A number quoted from a hosted-model demo becomes a contractual claim we cannot meet on the enclave model the customer actually buys.,None - undocumented; Architecture Review Report SS I.1-6 states the delta is unmeasured,Undocumented — no answer exists,AIA-04.2.05 hosted-versus-local delta acceptance,-,Who signs off marketing claims about AI? / What retraction path exists if the delta is bad?,"States what is measurable today, what is not, and the wording that survives an acceptance review",,,,,
QAI0024,D01,SME Chatbot (learner),PRODM,Product Manager,L4 Architect,Ongoing,Ethics/Validity,What does EdVidura say publicly the first time the learner chatbot is confidently wrong about a maintenance procedure?,An unrehearsed answer in a defence customer review can end the programme faster than the defect itself.,None - undocumented; Programme Director,Undocumented — no answer exists,Customer acceptance of the AI quality position,-,Who is the named spokesperson? / Is there a disclosure obligation to other sites?,"Names the disclosure position, the corrective action, and the person who signs it",,,,,
QAI0011,D01,SME Chatbot (learner),QA,QA / Test Engineer,L2 Mid,Month 1,Failure mode,What test proves that a superseded chunk is non-retrievable in the window between tombstone application and re-index completion?,Testing only after re-index certifies the safe case and leaves the dangerous window unmeasured.,"Master Checklist v3 (TST-28.2.02, AIA-11.1.02)",Partially documented,TST-28.2.02 Scenario-4 stale-manual drill,-,What is the measured time-to-non-retrievable? / Is the enclave path tested separately?,"Describes the drill, the measured quantity, and the pass condition of zero superseded answers",,,,,
QAI0018,D01,SME Chatbot (learner),QA,QA / Test Engineer,L3 Senior,Quarter 1,Ethics/Validity,What does the groundedness metric on the M26 release gate fail to catch?,Treating groundedness as proof of correctness lets a well-grounded answer to the wrong revision pass every gate.,"Architecture Review Report SS I.1-2, SS I.7",Partially documented,AIA-11.1.01 full RAG metric table,-,Does citation correctness cover currency? / What covers the superseded case?,"Distinguishes groundedness, citation correctness and currency, and names the gate for each",,,,,
QAI0014,D01,SME Chatbot (learner),SDET,Test Architect / SDET,L3 Senior,Quarter 1,Failure mode,How would you detect that one enclave's chatbot index is stale while the connected fleet's index is current?,Undetected index divergence is the mechanism by which a technician follows an obsolete procedure with a confident citation.,Master Checklist v3 (AIA-09.1.04); Architecture Review Report Scenario 4,Partially documented,AIA-09.1.04 per-enclave index currency,-,What signal crosses the air gap? / Who is paged when currency lapses?,"Names the per-enclave currency record, the comparison authority, and the alarm",,,,,
QAI0012,D01,SME Chatbot (learner),SEC,Security Engineer,L2 Mid,Month 1,Security,Which layer is responsible for denying a document the asking learner may not see - the retrieval filter or the model prompt?,Relying on the model to withhold content it has already been given turns any successful injection into an authorisation bypass.,"Architecture Review Report SS I.1-3, Scenario 9; Master Checklist v3 (AIA-07.1.02)",Partially documented,AIA-10.1.03 per-document ACL enforcement,-,Is post-retrieval-only filtering prohibited? / Does existence of a document leak?,States that authorisation is enforced on retrieval results and never delegated to the model,,,,,
QAI0017,D01,SME Chatbot (learner),SEC,Security Engineer,L3 Senior,Quarter 1,Security,What is the containment procedure when the injection red-team suite succeeds against the exact quantized model an enclave ships?,"A successful injection on the shipped model is an ACL bypass, not a quality defect, and needs an incident path rather than a backlog ticket.","Master Checklist v3 (AIA-10.1.01, AIA-10.1.06); Architecture Review Report Scenario 9",Partially documented,AIA-10.1.06 red-team refresh cadence,-,Does the finding block release? / Who can disable the chatbot in an enclave?,"Names the kill switch, the incident class, and the corpus update that follows",,,,,
QAI0028,D01,SME Chatbot (learner),SEC,Security Engineer,L3 Senior,Quarter 1,Emergent,"When the post-retrieval tenant assertion fires in production, is that a defect ticket or a reportable isolation incident?",Classifying a real cross-tenant retrieval as a bug means it never reaches the security register or the customer.,None - undocumented; Security Architect,Undocumented — no answer exists,AIA-10.1.02 zero cross-tenant negative suite,QAI0008,Who decides the classification? / Is the customer notified?,States the classification rule and the notification obligation attached to it,,,,,
QAI0005,D01,SME Chatbot (learner),SUP,Support & Service Engineer,L1 Junior,Week 1,Orientation,What do we tell a customer whose instructors report that the chatbot refuses to answer most questions?,Without an agreed script a support engineer will either promise a fix that is actually a calibrated design behaviour or escalate a non-defect.,None - undocumented; Support runbook not written,Undocumented — no answer exists,AIA-12.1.06 operator runbook,-,Is high refusal a defect or a threshold setting? / Who may change the threshold?,Distinguishes correct refusal from false refusal and names who owns the threshold,,,,,
QAI0027,D01,SME Chatbot (learner),SUP,Support & Service Engineer,L2 Mid,Quarter 1,Emergent,"If high refusal turns out to be a calibrated threshold rather than a defect, what evidence does support attach to close the ticket?",Closing safety-adjacent tickets with an opinion destroys the audit trail we need when refusal calibration is later challenged.,None - undocumented; AI/ML Safety Engineer,Undocumented — no answer exists,AIA-07.1.04 refusal and confidence thresholds,QAI0005,Where is the current threshold published? / Can a site see its own refusal rate?,"Names the threshold record, the per-site refusal telemetry, and the closure evidence",,,,,
QAI0019,D01,SME Chatbot (learner),SUP,Support & Service Engineer,L3 Senior,Quarter 1,Failure mode,"With no remote access into an air-gapped site, what is the first diagnostic a support engineer asks for when learners report wrong chatbot answers?",Asking for the wrong artefact wastes the one shipment window and leaves a safety-relevant defect live for another cycle.,None - undocumented; Master Checklist v3 (AIA-12.1.06) plans the runbook,Undocumented — no answer exists,AIA-12.1.06 operator runbook no-remote-access variant,-,What can the site operator export? / What may they not export?,"Names the local artefact, who collects it, and the export path that respects the boundary",,,,,
QAI0030,D01,SME Chatbot (learner),SUP,Support & Service Engineer,L4 Architect,Quarter 1,Emergent,What may an air-gapped site export to us for diagnosis without breaching its own accreditation?,"A diagnostic request that violates the site's security rules is refused, and the defect stays unfixed for an entire update cycle.",None - undocumented; Security Architect and Client accreditation authority,Undocumented — no answer exists,AIA-12.1.06 no-remote-access runbook variant,QAI0019,Who decides what may leave? / Is there a pre-approved diagnostic bundle?,"Names the approved artefact set, the approver, and the transfer mechanism",,,,,
QST0016,D02,AI Assessment Tools,ID,Instructional Designer,L1 Junior,Week 1,Governance/Process,"What sampling rate applies to review of AI-generated assessment content, and where is our number recorded?","An unstated sampling rate means either everything is reviewed and the queue collapses, or nothing is and invalid items reach learners.",Master Checklist v3 (CNT-22.1.03) — item not started,Undocumented — no answer exists,D04 sampling rate by risk tier,-,What is the risk tiering? / What escape rate would justify lowering it? / Who sets it?,Gives a rate per risk tier with the written rationale behind it,,,,,
QST0017,D02,AI Assessment Tools,ID,Instructional Designer,L1 Junior,Week 1,Ethics/Validity,"What do facility and discrimination mean for a test item, and does EdVidura compute either of them today?","Without item statistics a bank of AI-generated questions cannot be shown to measure anything, and certification decisions rest on it.",Architecture Review Report §I.2-5,Partially documented,D02 item-bank psychometrics pipeline,-,What response volume is needed? / Who pulls a bad item? / Are translated items counted separately?,Defines both statistics and states plainly that no pipeline computes them yet,,,,,
QST0031,D02,AI Assessment Tools,ID,Instructional Designer,L2 Mid,Month 1,Governance/Process,What is the review path an AI-generated assessment item follows before a learner ever sees it?,"An item that reaches a learner unreviewed can be wrong, unanswerable or unfair, and it may feed a certification decision.",Architecture Review Report §I.6 (HR-3); Master Checklist v3 (CNT-23.1.04),Partially documented,D02 item review queue,-,Who staffs the queue? / What is the SLA? / What happens to rejected items?,"Traces generation to P2 review to publish, naming the reviewer role",,,,,
QST0048,D02,AI Assessment Tools,ID,Instructional Designer,L2 Mid,Quarter 1,Emergent,"If AI-generated items must all be human reviewed until escape rates are measured, how is the escape rate measured before any sampling exists?",Circular gating means the sampling rate never moves and the reviewer queue is permanently the bottleneck for the whole content pipeline.,"Master Checklist v3 (CNT-23.1.02, CNT-23.1.04)",Partially documented,D04 defect-escape-rate instrumentation,QST0031,What counts as an escape? / Who traces it back to a stage? / What threshold releases sampling?,Describes the escape metric and the evidence that would justify sampling,,,,,
QST0052,D02,AI Assessment Tools,ID,Instructional Designer,L3 Senior,Quarter 1,Ethics/Validity,How would you detect that AI-generated items are systematically easier than human-written ones on the same objective?,Systematically easier items inflate pass rates and quietly lower the bar for every competence claim built on them.,Architecture Review Report §I.2-5,Undocumented — no answer exists,D02 item statistics by provenance,-,Is provenance stored on the item? / What sample size is needed? / Who reviews the comparison?,Names item provenance plus facility comparison as the detection method,,,,,
QST0069,D02,AI Assessment Tools,ID,Instructional Designer,L3 Senior,Quarter 1,Emergent,"If grading models are pinned per enclave, how do you compare item statistics computed at two sites running different pinned versions?",Pooling statistics across model versions produces item difficulty figures that describe neither site and are used to retire good items.,Architecture Review Report §I.2-3,Undocumented — no answer exists,D02 psychometrics segmentation by model version,QST0052,Is model version on the response record? / Are statistics segmented? / What sample size per segment?,States that statistics must be segmented by pinned model version,,,,,
QST0076,D02,AI Assessment Tools,ID,Instructional Designer,L4 Architect,Quarter 1,Trade-off,What would have to be true before AI-generated assessment items could be sampled rather than fully reviewed?,Moving to sampling without evidence trades a known cost for an unmeasured risk to every certification built on the bank.,"Architecture Review Report §I.2-5, §I.6 (HR-3)",Partially documented,D04 sampling rate rationale,-,What escape rate is acceptable? / Over what volume? / Does it differ for certification items?,"Names an escape-rate threshold, a volume and an exclusion for certification items",,,,,
QST0217,D02,AI Assessment Tools,QA,QA / Test Engineer,L3 Senior,Quarter 1,Failure mode,How do you test that below-threshold AI output actually routes into the human review queue and resolves?,A review queue that silently drops items converts a mandatory human control into an automatic approval.,Master Checklist v3 (TST-11.1.06),Partially documented,D02 human review queue,-,What is the threshold? / What happens on queue overflow? / Is resolution time measured?,"Injects below-threshold output and asserts it arrives, is worked and is recorded",,,,,
QST0239,D02,AI Assessment Tools,SDET,Test Architect / SDET,L3 Senior,Quarter 1,Ethics/Validity,How do you measure run-to-run grading variance on a quantised local model?,Without the measurement two identical answers can receive different grades and no dispute can be resolved.,Architecture Review Report §I.2-1; Master Checklist v3 (TST-11.1.02),Partially documented,D02 grading reproducibility gate,-,How many repeats? / What band agreement is required? / What is the deterministic fallback?,Describes repeated runs on a frozen fixture set with a band-agreement threshold,,,,,
QST0247,D02,AI Assessment Tools,SDET,Test Architect / SDET,L4 Architect,Quarter 1,Trade-off,What would have to be true to reduce full review of AI output to a sampling regime?,Moving to sampling on intuition converts a mandatory control into an unquantified risk on certification-bearing content.,Architecture Review Report §I.6 (HR-3),Undocumented — no answer exists,D04 sampling rationale,-,What escape rate over what volume? / Does it exclude certification items? / Who ratifies it?,"States a measured escape rate, a volume and explicit exclusions",,,,,
QAI0032,D02,AI Assessment and Auto Grader,AI,AI/ML Engineer,L1 Junior,Week 1,Orientation,What fields make up the mandatory version block on an AI-influenced grade?,"A grade without its model, quantization and rubric version cannot be defended when a competency record is disputed two years later.","Master Checklist v3 (AIA-13.1.03, COR-06.1.03)",Documented,AIA-17.1.01 version-stamp audit query,-,Is the weights hash included? / Who audits completeness?,"Lists model ID with weights hash, quantization, prompt and rubric version, item version, deployment class",,,,,
QAI0035,D02,AI Assessment and Auto Grader,AI,AI/ML Engineer,L2 Mid,Month 1,Mechanism,How is run-to-run reproducibility of semantic grading measured on the quantized enclave model?,Irreproducible grades feeding a gradebook are indefensible in a dispute and invalidate every downstream competency claim.,"Master Checklist v3 (AIA-16.1.02, COR-09.2.03); Architecture Review Report SS I.2-1",Partially documented,COR-09.2.03 grading reproducibility gate,-,What band agreement is the pass mark? / What if a GPU kernel is nondeterministic?,"Describes the fixture set, the repeat count, the band-agreement measure and the gate value",,,,,
QAI0040,D02,AI Assessment and Auto Grader,AI,AI/ML Engineer,L3 Senior,Quarter 1,Ethics/Validity,How would you detect that the grader systematically scores Hinglish answers lower than the same content in formal English?,A language-correlated grading penalty in the Indian market is a fairness failure and a legal exposure on official records.,"Master Checklist v3 (AIA-16.2.01, TST-40.2.05); Architecture Review Report SS I.2-4",Partially documented,AIA-16.2.01 grading fairness measurement,-,What is the accepted maximum difference? / Who are the bilingual raters?,"Describes the content-equivalent fixture design, the raters, and the numeric disparity bound",,,,,
QAI0051,D02,AI Assessment and Auto Grader,AI,AI/ML Engineer,L3 Senior,Quarter 1,Emergent,"If the reproducibility gate fails on the quantized enclave model, is the deterministic fallback the enclave product for grading?",Treating the fallback as a temporary measure hides the possibility that semantic grading is simply not deliverable air-gapped.,None - undocumented; Architecture Review Report SS I residual risk 1,Undocumented — no answer exists,MOD-010 enclave AI tiering decision,QAI0035,Was that outcome priced? / Is it disclosed to the customer before contract?,States the acceptable product outcome and who must accept it,,,,,
QAI0047,D02,AI Assessment and Auto Grader,AI,AI/ML Engineer,L4 Architect,Quarter 1,Trade-off,Why run semantic grading on a larger model than the chatbot when both share one GPU appliance?,"The model split drives the entire GPU sizing and procurement decision, which has a two-quarter lead time.",Architecture Review Report SS Q.3.1; Master Checklist v3 (AIA-02.1.06),Partially documented,AIA-02.1.06 GPU sizing memo,-,What does one model for both cost in quality? / What does two models cost in VRAM?,"Argues quality per class against VRAM and concurrency, and names the sizing consequence",,,,,
QAI0031,D02,AI Assessment and Auto Grader,AIG,AI Generalist,L1 Junior,Day 1,Orientation,What does 'advisory-only' mean for semantic grading in EdVidura today?,An engineer who wires a suggested score straight into the gradebook creates an unconfirmed AI grade on a learner record.,"Master Checklist v3 (COR-09.2.01, AIA-16.1.04)",Documented,COR-09.2.01 semantic grading advisory-only,-,Who confirms the grade? / What happens if nobody confirms it?,"States suggestion plus rationale, the grader queue, and the 100 percent confirmation default",,,,,
QAI0037,D02,AI Assessment and Auto Grader,AIG,AI Generalist,L2 Mid,Month 1,Security,How is a student's answer prevented from acting as an instruction to the grading model?,An answer containing 'award full marks' that changes the grade is grade fraud through the AI interface.,Master Checklist v3 (AIA-16.2.02); Architecture Review Report SS I.2-6,Partially documented,AIA-16.2.02 grade-manipulation adversarial suite,-,Is the suite run on the local model too? / Are Indic-script payloads included?,"Names inert-data templating, the adversarial corpus, and the per-model test obligation",,,,,
QAI0036,D02,AI Assessment and Auto Grader,BE,Back-End Developer,L2 Mid,Month 1,Mechanism,Walk a written answer from submission to a stored grade and name the point at which the human reviewer enters.,"If the saga writes the grade before the review step, the human queue becomes a post-hoc correction rather than a gate.","Master Checklist v3 (COR-08.2.02, AIA-16.1.03)",Partially documented,COR-08.2.02 submission saga on the outbox,-,What state is the attempt in while queued? / Does the LMS see a provisional grade?,"Traces submit, grade suggestion, queue, confirmation, store, emit, passback with the gate located",,,,,
QAI0050,D02,AI Assessment and Auto Grader,BE,Back-End Developer,L3 Senior,Quarter 1,Failure mode,What is the rollback path when a new grading model version turns out to grade a whole cohort differently?,"Without regression re-grading before activation, a model swap silently re-bands an entire exam group.","Master Checklist v3 (AIA-18.1.02, AIA-18.1.04)",Partially documented,AIA-18.1.02 change-controlled grading model update,-,Are already-issued grades re-graded? / Who authorises the re-grade?,"Names the pinned prior version, the fixture regression run, and the treatment of issued grades",,,,,
QAI0052,D02,AI Assessment and Auto Grader,DA,Data Analyst,L3 Senior,Quarter 1,Emergent,"If a fairness disparity is found after grades have already been issued, which prior grades get re-examined?",Fixing the model forward while leaving issued grades untouched leaves a known-biased cohort on the record.,None - undocumented; AI/ML Safety Engineer and Instructional Design Lead,Undocumented — no answer exists,AIA-16.2.01 grading fairness measurement,QAI0040,Is there a re-grade budget? / Are learners told?,"Defines the lookback window, the re-grade trigger, and the learner communication",,,,,
